reperto	prova
frontale	addobbo
ridimensionamento	valutazione
memorizzazione	apprendimento
morfologia	grammatica
protestante	chiesa
idraulica	meccanica
legame	attrazione
dialettica	filosofia
capretto	capra
tappezzeria	copertura
punto	cucito
cavalleria	truppa
ittiologia	zoologia
termocoppia	termometro
iperplasia	displasia
borgogna	vino
massa	corpo
morte	stato
termoelettricità	elettricità
autofluorescenza	fluorescenza
paranoia	psicosi
framboesia	morbo
socialdemocrazia	ideologia
chinotto	arancio
modellino	copia
estratto	articolo
codino	treccia
libanese	asiatico
sloveno	slavo
bistro	pigmento
schnauzer	terrier
anarchismo	ideologia
identità	monotonia
pentaedro	poliedro
abortivo	farmaco
mulattiere	manovale
simbolista	artista
autocrazia	ideologia
alcali	sale
infedeltà	qualità
anabattismo	protestantesimo
astrofisica	astronomia
carbonaio	fattorino
tentazione	desiderio
cotta	paramenti
acceleratore	pedale
apatite	minerale
windsurf	tavola
verticale	acrobazia
flussometro	contatore
contraente	parte
mangano	asciugatrice
fenomeno	sviluppo
orice	antilope
doccia	abluzione
conservazione	protezione
fine	stato
finlandese	europeo
grandine	precipitazione
sommelier	cameriere
classico	creazione
edificazione	lume
peschereccio	bastimento
confidenza	amicizia
tantalo	cicogna
mora	bacca
anagogia	interpretazione
spinta	forza
fuoco	elemento
legalismo	conformismo
catechismo	interrogatorio
rutilo	minerale
basilica	chiesa
distributore	fornitore
ominide	primate
autorità	potere
cooptazione	elezione
rampone	chiodo
editoria	attività
calore	energia
scudo	protezione
nettare	secrezione
serialismo	musica
fonte	origine
inasprimento	infelicità
cromite	minerale
anchilosi	patologia
figura	illustrazione
spia	traditore
ceppo	blocco
visitatore	viaggiatore
archivista	collezionista
internazionalista	socialista
carnivoro	predatore
resistenza	azione
cote	pietra
lunula	regione
celtico	indoeuropeo
studio	apprendimento
anfibio	vertebrato
orecchino	oreficeria
collimatore	cannocchiale
cambogiano	asiatico
irregolarità	qualità
siberiano	russo
ostacolista	atleta
batteriofago	virus
acquedotto	condotto
entremets	piatto
servo	nero
esoticità	singolarità
quadro	nucleo
citoplasma	protoplasma
gora	condotto
cedro	conifera
limone	agrume
unità	identità
fanone	corno
sassone	europeo
bioclimatologia	climatologia
rosso	vino
nome	famiglia
interpretazione	rappresentazione
ordine	stato
difesa	azione
surrealista	artista
parcheggio	spazio
scandalo	briga
limetta	lima
timoneria	ingranaggio
para	caucciù
psicanalisi	psicoterapia
ostia	pane
caseggiato	alloggio
set	tendenza
garza	maglia
beatificazione	santificazione
etnocentrismo	particolarismo
omogeneità	regolarità
tragopano	fagiano
caffè	bevanda
olandese	europeo
paleontologo	scienziato
rosta	finestra
pentagono	poligono
caraffa	vaso
salotto	salone
soggetto	elemento
ocra	terra
boliviano	sudamericano
castagno	legno
fotochimica	chimica
discarico	giustificazione
infanzia	età
arte	creazione
direzione	tendenza
radicalismo	ideologia
crogiolo	ambiente
tribalismo	stato
laminaria	fuco
tossiemia	setticemia
battimento	vibrazione
deflettore	lastra
intolleranza	impazienza
romanzo	narrativa
implorazione	preghiera
immobilizzazione	restrizione
brano	creazione
disegno	arte
mantissa	frazione
lemna	idrofita
valutazione	classificazione
pubblico	ente
esaedro	poliedro
cartaginese	africano
sosta	arresto
bersaglio	posto
comunicazione	astrazione
educazione	apprendimento
grandezza	proprietà
record	numero
occupazione	attività
clorofilla	pigmento
trasporto	circolazione
menù	vitto
idoneità	competenza
magnetometro	contatore
indiano	asiatico
materiale	informazione
radice	forma
abbraccio	inserimento
controfagotto	fagotto
trasmissione	comunicazione
anellino	anello
gutturale	consonante
albanella	falco
sintassi	struttura
cuccetta	letto
moloc	potere
radica	legno
citazione	chiamata
rivestimento	applicazione
osteoporosi	patologia
contesto	eloquio
singolare	forma
corazza	armatura
valeriana	fiore
clip	chiusura
pannocchia	nucleo
caolinite	minerale
bicarbonato	carbonato
kayak	canoa
turno	orario
aderenza	patologia
sole	tempo
gallo	pollo
trementina	oleoresina
americanizzazione	integrazione
cosmologia	astrofisica
interim	intervallo
tigna	micosi
orologiaio	fabbro
simmetria	spazialità
pattinatore	atleta
stimatore	giudice
nobilitazione	promozione
glutammato	sale
trinciante	coltello
gatto	felino
cancan	coreografia
peronospora	muffa
scorrettezza	sconvenienza
fusione	unione
angolano	africano
protezione	copertura
psicolinguistica	cognitivismo
candeliere	palo
zero	punteggio
laminatura	applicazione
narcosi	anestesia
calcolo	pianificazione
lavoro	energia
fondamentalismo	protestantesimo
angolo	punto
revisione	manutenzione
antibiotico	antibatterico
arteriola	arteria
compagnia	amicizia
araucaria	conifera
catatonia	schizofrenia
arciduca	principe
anello	oreficeria
sparide	perciforme
protone	nucleone
ilo	punto
cicisbeo	inserviente
carbonaia	capannone
turbopompa	pompa
ortofonia	terapia
operazione	attività
arciduchessa	principessa
orologiaio	artigiano
anapesto	piede
acclamazione	approvazione
indice	fatto
gloria	onore
arco	durata
ideografia	ortografia
ferretto	larva
stilo	attrezzo
contrappunto	polifonia
dissociazione	separazione
internunzio	diplomatico
cordone	addobbo
serbocroato	slavo
lira	arpa
champagne	spumante
liberto	libero
strappamento	ferita
quadricipite	estensore
autoimmunità	patologia
vetrinista	artigiano
secante	retta
migratore	viaggiatore
osmio	metallo
coriandolo	erba
erpetologo	zoologo
ipertrofia	displasia
creolo	americano
adorazione	apprezzamento
elettrone	leptone
piastra	scudo
mammut	elefante
nitrificazione	ossidazione
orlo	limite
batteriologo	biologo
guerra	azione
bromuro	alogenuro
polimero	composto
scalogno	cipolla
geodetica	linea
karakiri	suicidio
riconsiderazione	ripensamento
ereditiera	erede
termoionica	elettronica
preparato	composto
gastrula	embrione
console	diplomatico
biochimico	chimico
barriera	meccanismo
piantaggine	banano
papilla	processo
focalizzazione	intensificazione
inventario	elencazione
meningite	morbo
birmano	asiatico
ninfea	idrofita
acetato	sale
datore	buono
terbio	metallo
penicillina	antibiotico
ghinea	moneta
scavo	sede
ovazione	riconoscimento
dardo	proiettile
svedese	europeo
borghese	capitalista
doppione	copia
papavero	fiore
pubertà	età
palato	superficie
reologia	fisica
internato	residente
commesso	venditore
catalano	spagnolo
imboschimento	adattamento
cifra	cifrario
superficie	artefatto
tamia	scoiattolo
combinazione	sequenza
eufuismo	prosa
ateniese	greco
metodicità	qualità
neutralizzazione	annullamento
incontro	convergenza
focena	delfino
sarcolemma	membrana
liturgia	rito
sinapsi	giuntura
sanzione	approvazione
dentale	consonante
nume	spirito
mungitrice	macchina
tunisino	africano
semiconduttore	conduttore
ritorno	arrivo
perimetro	linea
ricercatore	scienziato
caprifico	albero
statistico	matematico
chiave	spiegazione
miopia	ametropia
materialista	capitalista
tetraggine	atmosfera
disinvestimento	prelievo
calcocite	minerale
tetraplegia	paralisi
somalo	africano
autoanalisi	introspezione
polinomio	funzione
nodo	fatto
indennità	ricompensa
peritoneo	sierosa
dragona	nappa
curva	linea
marmitta	pentola
mirtillo	bacca
menta	caramella
prima	ingranaggio
radiologo	specialista
cristallo	solido
yuppie	professionista
dattilologia	alfabeto
coccige	osso
citostoma	bocca
intermittenza	irregolarità
mocassino	scarpa
inibizione	astinenza
improbabilità	incertezza
anodo	elettrodo
peruviano	sudamericano
diagonale	retta
autoerotismo	sesso
patatine	patata
sierosa	membrana
immunizzazione	protezione
plastidio	granulo
tulle	maglia
falconeria	arte
tarso	ossatura
etnografo	antropologo
loto	ninfea
minaccia	pericolo
vermouth	vino
circolazione	cambiamento
micropaleontologia	paleontologia
anfibologia	ambiguità
incrocio	influenza
distillato	liquido
monografia	trattato
fisioterapia	terapia
cretinismo	ipotiroidismo
irroratore	manovale
modernità	attualità
incisione	scultura
artrosi	artrite
inquisizione	interrogatorio
diossina	idrocarburo
telegrafia	telecomunicazioni
democrazia	ideologia
principio	legge
callosità	sintomo
dalia	fiore
cusco	falangista
stoico	filosofo
etile	alchile
damigiana	bottiglia
dipendenza	stato
murena	anguilla
centaurea	fiore
crepuscolo	declino
sclerosi	patologia
samara	achenio
coreano	asiatico
ebano	albero
astensione	autodisciplina
mediazione	intervento
tabù	inibizione
nepalese	asiatico
china	albero
